cost,cuisine,link,location,name,promoted,rating,review_count,review_link
$    $    $,French,https://www.opentable.com/la-mirabelle?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,La Mirabelle,Promoted,4.7 stars out of 5,(1530),https://www.opentable.com/la-mirabelle?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Cuban,,Edgewater,Rebecca's,,4.5 stars out of 5,(437),https://www.opentable.com/rebeccas?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,https://www.opentable.com/r/boilery-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,Boilery Upper West Side,Promoted,4.2 stars out of 5,(23),https://www.opentable.com/r/boilery-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary American,,Upper West Side,Smoke Jazz and Supper Club,,4.5 stars out of 5,(2607),https://www.opentable.com/r/smoke-jazz-and-supper-club-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary American,,Edgewater,HAVEN Riverfront Restaurant and Bar,,4.6 stars out of 5,(1561),https://www.opentable.com/r/haven-riverfront-restaurant-and-bar-edgewater?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Indian,,Upper West Side,Awadh,,4.5 stars out of 5,(704),https://www.opentable.com/r/awadh-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Carmine's - 91st Street - NYC,,4.5 stars out of 5,(5878),https://www.opentable.com/carmines-91st-street-nyc?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,,Upper West Side,The Mermaid Inn Uptown,,4.7 stars out of 5,(3094),https://www.opentable.com/the-mermaid-inn-uptown?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Latin American,https://www.opentable.com/calle-ocho?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,Calle Ocho,Promoted,4.7 stars out of 5,(3840),https://www.opentable.com/calle-ocho?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Greek,,Upper West Side,Elea,,4.6 stars out of 5,(466),https://www.opentable.com/r/elea-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Lucciola,,4.5 stars out of 5,(373),https://www.opentable.com/r/lucciola-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Edgewater,Pier 115 Bar and Grill,,4.4 stars out of 5,(674),https://www.opentable.com/pier-115-bar-and-grill?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
