address,area,bookings_today,cost,cuisine,link,location,location_on_page,name,promoted,rating,review_count,review_link
//restaurant.opentable.com/signup-claim-profile?corrid=f216ef6d-28e9-47cc-8ced-7801a01865f1&rid=271750,Atlanta / Georgia,,  $    $    $    ,Steakhouse,https://www.opentable.com/r/sushi-bar-yu-ka-atlanta?corrid=f216ef6d-28e9-47cc-8ced-7801a01865f1,Buckhead,"[61, 4]",Sushi Bar Yu-Ka,,,,https://www.opentable.com/r/sushi-bar-yu-ka-atlanta?corrid=f216ef6d-28e9-47cc-8ced-7801a01865f1
//restaurant.opentable.com/signup-claim-profile?corrid=19c7f619-935e-4982-a319-c366c10aba54&rid=154230,Manchester/Greater Manchester,,  $    $      ,International,https://www.opentable.com/restaurant/profile/154230?corrid=19c7f619-935e-4982-a319-c366c10aba54,Fallowfields,"[4, 70]",Cubo Street Kitchen,,,,https://www.opentable.com/restaurant/profile/154230?corrid=19c7f619-935e-4982-a319-c366c10aba54
//www.google.com/maps/dir/?api=1&destination=Afternoon%20Teas%20at%20Ocean%20Bleu%20Clifton%20Gardens%20The%20Leas%20Folkestone%2C%20Kent%20%20CT20%202EB,Kent,,  $    $    $    ,Afternoon Tea,https://www.opentable.com/r/afternoon-teas-at-ocean-bleu-folkestone?corrid=a4219e8f-9fe9-44cf-ac41-e7b17fccb6c2,Folkestone,"[5, 93]",Afternoon Teas at Ocean Bleu,,3.9 stars out of 5,(9),https://www.opentable.com/r/afternoon-teas-at-ocean-bleu-folkestone?corrid=a4219e8f-9fe9-44cf-ac41-e7b17fccb6c2
//www.google.com/maps/dir/?api=1&destination=Rancho%20Steak%20House%20244A%20Morrison%20Street%20Edingburgh%2C%20%20%20EH3%208DT,Edinburgh/Midlothian,Booked 1 time today,  $    $      ,Steak,https://www.opentable.com/r/rancho-steak-house-edingburgh?corrid=996d3b35-41b1-426a-9c55-f91079a41e83,Edinburgh,"[7, 56]",Rancho Steak House,,4.5 stars out of 5,(51),https://www.opentable.com/r/rancho-steak-house-edingburgh?corrid=996d3b35-41b1-426a-9c55-f91079a41e83
//restaurant.opentable.com/signup-claim-profile?corrid=81a8a110-0aa6-4537-abc9-791724d08338&rid=141900,Yorkshire,,  $    $      ,Afternoon Tea,https://www.opentable.com/r/afternoon-tea-at-the-middletons-york?corrid=81a8a110-0aa6-4537-abc9-791724d08338,York,"[8, 9]",Afternoon Tea at the Middleton's York,,,,https://www.opentable.com/r/afternoon-tea-at-the-middletons-york?corrid=81a8a110-0aa6-4537-abc9-791724d08338
//www.google.com/maps/dir/?api=1&destination=Novikov%20-%20Lounge%20Bar%20%20London%2C%20%20%20W1J%208HA,London,,  $    $      ,Asian,https://www.opentable.com/r/novikov-lounge-bar-london?corrid=b81c4743-b342-4569-acab-0d3263c20167,Mayfair,"[54, 70]",Novikov - Lounge Bar,,,,https://www.opentable.com/r/novikov-lounge-bar-london?corrid=b81c4743-b342-4569-acab-0d3263c20167
//www.google.com/maps/dir/?api=1&destination=Picaro%20by%20Romeo%20%26%20Julieta%20Carretera%20a%20Todos%20Santos%20km%20120%20Zona%20Pacifico%20Rancho%20San%20Lucas%3Cbr%3E23473%20Cabo%20San%20Lucas%20,Baja California Sur,Booked 3 times today,  $    $    $    $  ,Farm-to-table,https://www.opentable.com/r/picaro-by-romeo-and-julieta-cabo-san-lucas?corrid=e7731995-90a0-4c67-9be0-207b29a4b471,Cabo San Lucas,"[1, 67]",Picaro by Romeo & Julieta,,,,https://www.opentable.com/r/picaro-by-romeo-and-julieta-cabo-san-lucas?corrid=e7731995-90a0-4c67-9be0-207b29a4b471
//restaurant.opentable.com/signup-claim-profile?corrid=f3fb0559-a894-4a5e-bd51-d2bb257b223d&rid=214393,Monterrey,,  $    $    $    ,Indian,https://www.opentable.com/r/curry-sultan-san-pedro-garza-garcia?corrid=f3fb0559-a894-4a5e-bd51-d2bb257b223d,San Pedro Garza García,"[1, 81]",Curry Sultan,,4.5 stars out of 5,(8),https://www.opentable.com/r/curry-sultan-san-pedro-garza-garcia?corrid=f3fb0559-a894-4a5e-bd51-d2bb257b223d
//www.google.com/maps/dir/?api=1&destination=La%20Lunita%20Hacienda%20de%20la%20Tortuga%202%20y%203%20Akumal%20Norte%3Cbr%3E77760%20Canc%C3%BAn%20,Cancun / Riviera Maya,,  $    $      ,Contemporary Mexican,https://www.opentable.com/r/la-lunita-cancun-2?corrid=969bd74f-21de-42ef-afa4-e0f80d6a6aa9,Playa del Carmen / Riviera Maya,"[3, 64]",La Lunita,,,,https://www.opentable.com/r/la-lunita-cancun-2?corrid=969bd74f-21de-42ef-afa4-e0f80d6a6aa9
//restaurant.opentable.com/signup-claim-profile?corrid=d5aac5d6-4a30-48c0-9af9-4281d3959780&rid=168055,Mexico City,,  $    $      ,Mexican,https://www.opentable.com/r/alipus-endemico-mexico?corrid=d5aac5d6-4a30-48c0-9af9-4281d3959780,Condesa / Roma,"[10, 19]",Alipus Endemico,,4 stars out of 5,(1),https://www.opentable.com/r/alipus-endemico-mexico?corrid=d5aac5d6-4a30-48c0-9af9-4281d3959780
//restaurant.opentable.com/signup-claim-profile?corrid=b76b3af6-0271-4f5b-a72c-94c0bf32b93d&rid=712018,Mexico City,,  $    $    $    ,Contemporary Mexican,https://www.opentable.com/r/bistro-by-jaime-mena-toluca?corrid=b76b3af6-0271-4f5b-a72c-94c0bf32b93d,Metepec / Toluca,"[9, 99]",Bistro by Jaime Mena,,4.5 stars out of 5,(5),https://www.opentable.com/r/bistro-by-jaime-mena-toluca?corrid=b76b3af6-0271-4f5b-a72c-94c0bf32b93d
//restaurant.opentable.com/signup-claim-profile?corrid=0891e10a-d6bf-46f4-81a3-0099733e8b74&rid=991477,Mexico City,,  $    $    $    ,International,https://www.opentable.com/r/gastrology-ciudad-de-mexico?corrid=0891e10a-d6bf-46f4-81a3-0099733e8b74,Santa Fe / Bosques,"[8, 99]",Gastrology,,4.3 stars out of 5,(2),https://www.opentable.com/r/gastrology-ciudad-de-mexico?corrid=0891e10a-d6bf-46f4-81a3-0099733e8b74
//restaurant.opentable.com/signup-claim-profile?corrid=7a82b199-8bb7-4d8d-ab73-28d4624ae7cc&rid=18668,Kanagawa,,  $    $    $    ,Italian,https://www.opentable.com/r/albergo-bamboo-ashigarashimo-gun?corrid=7a82b199-8bb7-4d8d-ab73-28d4624ae7cc,Hakone,"[1, 4]",Albergo Bamboo,,3.8 stars out of 5,(11),https://www.opentable.com/r/albergo-bamboo-ashigarashimo-gun?corrid=7a82b199-8bb7-4d8d-ab73-28d4624ae7cc
//restaurant.opentable.com/signup-claim-profile?corrid=ecfee458-d14a-48a3-8b04-754d2bcb79c2&rid=18599,Kanagawa,,  $    $    $    ,Italian,https://www.opentable.com/r/oiso-geihinkan-naka-gun?corrid=ecfee458-d14a-48a3-8b04-754d2bcb79c2,Fujisawa / Hiratsuka / Oiso,"[0, 99]",Oiso Geihinkan,,4.1 stars out of 5,(46),https://www.opentable.com/r/oiso-geihinkan-naka-gun?corrid=ecfee458-d14a-48a3-8b04-754d2bcb79c2
//restaurant.opentable.com/signup-claim-profile?corrid=b20ce5a0-da8f-49be-bfd8-32c05c09be8c&rid=46592,Tokyo Metropolitan Area,,  $    $      ,Yakiniku,https://www.opentable.com/r/toraji-celeo-hachioji?corrid=b20ce5a0-da8f-49be-bfd8-32c05c09be8c,Machida,"[11, 14]",Toraji Celeo Hachioji,,4.3 stars out of 5,(16),https://www.opentable.com/r/toraji-celeo-hachioji?corrid=b20ce5a0-da8f-49be-bfd8-32c05c09be8c
//restaurant.opentable.com/signup-claim-profile?corrid=dbc4875c-28db-426a-b0ab-53899ba59712&rid=19985,Tokyo Metropolitan Area,,  $    $      ,Oyster Bar,https://www.opentable.com/r/jack-pot-komae-komae-shi?corrid=dbc4875c-28db-426a-b0ab-53899ba59712,Odakyu Line,"[10, 99]",Jack Pot Komae,,3.6 stars out of 5,(3),https://www.opentable.com/r/jack-pot-komae-komae-shi?corrid=dbc4875c-28db-426a-b0ab-53899ba59712
//restaurant.opentable.com/signup-claim-profile?corrid=e22fbd4c-bb8f-4420-bd9d-2d6eaf9510c6&rid=164913,Essex,,  $    $      ,Indian,https://www.opentable.com/r/live-dosa-chelmsford?corrid=e22fbd4c-bb8f-4420-bd9d-2d6eaf9510c6,Chelmsford,"[3, 73]",Live Dosa,,3 stars out of 5,(1),https://www.opentable.com/r/live-dosa-chelmsford?corrid=e22fbd4c-bb8f-4420-bd9d-2d6eaf9510c6
//www.google.com/maps/dir/?api=1&destination=Harvester%20-%20The%20Honey%20Pot%20Harvester%20-%20The%20Honey%20Pot%20Festival%20Leisure%20Park%2C%20Cranes%20Farm%20Road%20Basildon%2C%20Essex%20%20SS14%203TJ,Essex,,  $    $      ,British,https://www.opentable.com/r/harvester-the-honey-pot-basildon?corrid=e22fbd4c-bb8f-4420-bd9d-2d6eaf9510c6,Basildon,"[3, 72]",Harvester - The Honey Pot,,4.3 stars out of 5,(4),https://www.opentable.com/r/harvester-the-honey-pot-basildon?corrid=e22fbd4c-bb8f-4420-bd9d-2d6eaf9510c6
